region;country;X
Bath;England|USA;NA
Blandford;England|USA;NA
Cambridge;England|USA;NA
Canterbury;England|USA;NA
Carlisle;England|USA;NA
Carrick;Ambiguous;NA
Charlottetown;USA|Canada;NA
Chatham;England|USA;NA
Chelmsford;England|USA;NA
Dumfries;Scotland|USA;NA
Europe;Ambiguous;NA
Exeter;England|USA;NA
Geneva;Switzerland|USA;NA
Gloucester;England|USA;NA
Halifax;England|USA|Canada;NA
Keene;England|USA;NA
Kingston;Jamaica|England|USA;NA
Leominster;England|USA;NA
Monmouth;England|USA;NA
Newark;England|USA;NA
Newport;England|USA;NA
Paris;France|USA;NA
Plymouth;England|USA;NA
Portsmouth;England|USA;NA
Reading;England|USA;NA
Richmond;England|USA;NA
Rome;Italy|USA;NA
Salem;USA|England;NA
Salisbury;England|USA;NA
Trenton;Canada|USA;NA
Winchester;England|USA;NA
Worcester;England|USA;NA
York;England|USA;NA
